SAMPLE_NUMBER,Assay Date,Compartment Temp,Reagent-A ID,Reagent-A ID Exp Date,Reagent-B Exp Date,Reagent-B ID,Material-A ID,Reagent-C Lot,Reagent-D Lot,Reagent-E Lot,Reagent-F Concentration,Reagent-F Expiration,Reagent-F Lot,SOP Version,Agg%,INSTRUMENT,Main%,Lab_Site,Chemist
899389,03/13/2014,4.9,13-024-0093,06/10/2014,,,W04128,C200,13-024-0084,12-018-0008,1.0,01/31/2015,0R1860,12.0,5.9085637537,038,90.177711185,Stat,ChemistO
903429,03/20/2014,4.9,13-024-0093,06/10/2014,,,W05548-19T,C200,13-026-0062,12-018-0008,1.0,01/31/2015,0R1860,12.0,5.982259038,028,90.430737935,Stat,ChemistE
916325,04/09/2014,4.9,13-024-0108,07/08/2014,,,W05548-19T,C200,13-024-0106,13-028-0104,1.0,01/31/2015,0R1860,12.0,6.204317820599999,038,89.789045891,Stat,ChemistG
917501,04/14/2014,4.9,13-024-0108,07/08/2014,,,W04128-16T,C200,13-024-0106,13-028-0104,1.0,01/31/2015,0R1860,12.0,6.1633138871,038,89.654817689,Stat,ChemistE
921408,04/21/2014,5.2,13-024-0111,06/10/2014,,,W04128-16T,C200,13-024-0106,13-028-0104,1.0,01/31/2015,0R1860,12.0,6.0129646305,034,89.84684950200001,Stat,ChemistG
933831,05/13/2014,4.9,13-024-0111,06/10/2014,,,W05548-19T,C200,13-026-0120,13-028-0104,1.0,01/31/2015,0R1860,12.0,6.1001926311000005,034,89.870598822,Stat,ChemistG
936761,05/15/2014,4.9,13-025-0153,08/15/2014,,,W05548-19T,C200,13-024-0106,13-028-0104,1.0,01/31/2015,0R1860,12.0,6.1603687732,026,89.69737274799999,Stat,ChemistG
938393,,,,,,,,,,,,,,,,nan,,LIN,
942475,05/23/2014,4.9,13-025-0153,08/15/2014,,,W04128-16T,C200,13-024-0106,13-028-0104,1.0,01/31/2015,0R1860,12.0,6.329270579299999,026,89.266929102,Stat,ChemistG
945323,05/28/2014,5,33-078,08/23/2014,,,W03805-15T,,320-052,13-028-0104,,,,12,6.2715,263,89.13,LIN,ChemistH
946725,,,,,,,,C200,,,,,,,,nan,,Stat,
947367,06/02/2014,4.9,13-025-0153,08/15/2014,,,W05548-19T,C200,13-026-0120,13-028-0104,1.0,01/31/2015,0R1860,12.0,6.1814503245,037,89.51093663700001,Stat,ChemistG
954101,06/11/2014,5,23-007,09/06/2014,,,W04314,,23-010,,1.0,,,12,5.946000000000001,263,89.4865,LIN,ChemistH
