,TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
252,03M,Deamidation,,5C,Lumab,67073,39499/2
253,36M,Deamidation,,5C,Lumab,66933,42483
254,30M,Deamidation,,5C,Lumab,66965,42485
255,18M,Deamidation,4.482268651,5C,Lumab,82036,42487/J
256,12M,Deamidation,4.555089214,5C,Lumab,171269,39499/2
257,06M,Deamidation,,5C,Lumab,159198,39529
258,09M,Deamidation,,5C,Lumab,159203,39511
259,36M,Deamidation,5.216404358,5C,Lumab,176613,39360
260,36M,Deamidation,,5C,Lumab,176614,39362
261,36M,Deamidation,,5C,Lumab,176619,39365
262,36M,Deamidation,3.992473784,5C,Lumab,176619,39365
263,18M,Deamidation,5.2,5C,Lumab,286069,39511
264,24M,Deamidation,4.255605235,5C,Lumab,154843,42487/J
265,18M,Deamidation,4.83406215,5C,Lumab,251852,39499/2
266,30M,Deamidation,4.768345686,5C,Lumab,262167,39445
267,12M,Deamidation,,5C,Lumab,465892,39590
268,15M,Deamidation,,5C,Lumab,474500,39569A
269,09M,Deamidation,,5C,Lumab,962675,42487/J
270,39M,Deamidation,,5C,Lumab,962680,39365
271,00M,Deamidation,,5C,Lumab,1650350,39275
272,00M,Deamidation,,25_60,Lumab,1650351,39275
273,03M,Deamidation,,5C,Lumab,1650352,39275
274,03M,Deamidation,,25_60,Lumab,1650355,39275
275,06M,Deamidation,,5C,Lumab,1650360,39275
276,06M,Deamidation,,25_60,Lumab,1650362,39275
277,09M,Deamidation,,5C,Lumab,1650363,39275
278,12M,Deamidation,,5C,Lumab,1650364,39275
279,18M,Deamidation,,5C,Lumab,1650366,39275
280,24M,Deamidation,,5C,Lumab,1650372,39275
281,36M,Deamidation,,5C,Lumab,1650377,39275
282,00M,Deamidation,,5C,Lumab,1651130,39276
283,00M,Deamidation,,25_60,Lumab,1651170,39276
284,03M,Deamidation,,5C,Lumab,1651205,39276
285,03M,Deamidation,,25_60,Lumab,1651240,39276
286,06M,Deamidation,,5C,Lumab,1651277,39276
287,06M,Deamidation,,25_60,Lumab,1651306,39276
288,09M,Deamidation,,5C,Lumab,1651332,39276
289,12M,Deamidation,,5C,Lumab,1651364,39276
290,18M,Deamidation,,5C,Lumab,1651391,39276
291,24M,Deamidation,,5C,Lumab,1651419,39276
292,36M,Deamidation,,5C,Lumab,1651448,39276
293,00M,Deamidation,,5C,Lumab,1651513,39277
294,00M,Deamidation,,25_60,Lumab,1651541,39277
295,03M,Deamidation,,5C,Lumab,1651568,39277
296,03M,Deamidation,,25_60,Lumab,1651594,39277
297,06M,Deamidation,,5C,Lumab,1651620,39277
298,06M,Deamidation,,25_60,Lumab,1651645,39277
299,09M,Deamidation,,5C,Lumab,1651674,39277
300,12M,Deamidation,,5C,Lumab,1651699,39277
301,18M,Deamidation,,5C,Lumab,1652523,39277
302,24M,Deamidation,,5C,Lumab,1652572,39277
303,36M,Deamidation,,5C,Lumab,1652601,39277
304,00M,Deamidation,,5C,Lumab,1652679,39278
305,00M,Deamidation,,25_60,Lumab,1652703,39278
306,03M,Deamidation,,5C,Lumab,1652729,39278
307,03M,Deamidation,,25_60,Lumab,1652962,39278
308,06M,Deamidation,,5C,Lumab,1652986,39278
309,06M,Deamidation,,25_60,Lumab,1653011,39278
310,09M,Deamidation,,5C,Lumab,1653099,39278
311,12M,Deamidation,,5C,Lumab,1653128,39278
312,18M,Deamidation,,5C,Lumab,1653169,39278
313,24M,Deamidation,,5C,Lumab,1653206,39278
314,36M,Deamidation,,5C,Lumab,1653232,39278
